Ticker,Vencimento,Dias úteis,F.M. ,Mod.,Strike,A/I/OTM,Dist. (%) do Strike,Último,Var. (%),Data/Hora,Núm. de Neg.,Vol. Financeiro,Vol. Impl. (%),Delta,Gamma,Theta ($),Theta (%),Vega,IQ,Coberto,Travado,Descob.,Tit.,Lanç.
PETRF453,20/06/2025,13,,A,44.76,OTM,"+44,85",1,0,26/05/2025,2,"10,000",394,101,58,-18,"-1,833","3,129",250,0,117.1,1,10,4
PETRF244,20/06/2025,13,,A,23.76,ITM,"-2,311",788,-529,22/05/2025,2,"1.580,00",395,"9,987",15,-142,-18,322,86,10,21.6,9.7,6,7
PETRF39,20/06/2025,13,,E,38.51,OTM,"+24,63",1,0,30/05/2025,34,"3.157,00",395,151,132,-42,"-4,199","2,788",183,31.6,765.4,743.6,55,30
PETRF448,20/06/2025,13,,A,44.26,OTM,"+43,24",1,"-5,000",13/05/2025,4,"7,400",395,109,68,-23,"-2,347","3,052",133,0,2.3,6.7,4,3
PETRG22,18/07/2025,33,,E,22.05,ITM,"-2,864",998,-611,27/05/2025,1,"24.950,00",395,"10,000",0,-127,-13,1,100,0,2.5,3.2,2,2
PETRF273,20/06/2025,13,,A,26.76,ITM,"-1,340",457,-419,30/05/2025,2,"3.205,00",395,"9,576",313,-241,-53,"6,608",46,0,26.3,44,6,13
PETRF436,20/06/2025,13,,A,40.26,OTM,"+30,29",1,0,27/05/2025,2,"6,000",396,131,100,-32,"-3,229","2,881",258,0,128.8,3.590.600,31,12
PETRF1,20/06/2025,13,,E,40.51,OTM,"+31,10",1,0,27/05/2025,1,"3,000",398,131,99,-32,"-3,247","2,884",282,10,427.1,399,48,17
PETRF285W1,06/06/2025,4,,A,28.5,ITM,-777,265,-603,30/05/2025,2,"1.860,00",398,"9,448",641,-350,-132,"4,873",75,0,3,0,3,4
PETRF431,20/06/2025,13,,A,39.76,OTM,"+28,67",1,0,29/05/2025,1,100,399,7,10,-1,-149,190,178,11.9,457.1,164.4,32,18
PETRF427,20/06/2025,13,,E,42.01,OTM,"+35,95",1,0,22/05/2025,1,"3,000",399,37,36,-7,-750,"1,102",140,0,199.2,79.8,7,5
